sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Mo,Nb,Ni,Pb,Rb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
TRI0164-027-003,glass,48.75,1.88,14.37,,,10.99,0.21,6.91,11.65,2.96,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,-90.81,-1855,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-027,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Fisk,1982(4)",EMP(2)
TRI0164-027-003,whole rock,49.26,1.71,15.41,8.62,2.02,,,7.29,12.25,2.73,0.26,0.17,8.5,21.3,,14.8,4.8,1.7,,1.1,,,,,3.8,0.44,45.7,,44,252,0.037,,,,1927,,,,,,3.21,42,,154,,,,,310,,,,0.70296,,,,,1.06,-90.81,-1855,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-027,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
WASSOTW-017-004,glass,51.36,2.15,13.21,,,13.43,0.22,6.12,10.75,2.31,0.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,-86.13,-2500,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,WASSOTW-017,SOUTHTOW,dredge,"basalt, basalt, ",,"Clague,1981(6)",EMP(4)
WASSOTW-017-004,whole rock,,2.01,,,,11.9,,6.32,,,,,4.8,,,,5.2,1.7,,1.3,,,,,6.3,0.8,31.5,,65,220,0.049,62,18,,2470,6,,,70,,5.5,47,,64,,,,,420,65,120,145,0.70258,,,,,0.82,-86.13,-2500,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,WASSOTW-017,SOUTHTOW,dredge,"basalt, basalt, ",,"Clague,1981(6); Schilling,1976(444); Schilling,1982(11); Verma,1982(3)",AAS(6); ES(7); INAA(30); MS(25); MS-ID(26); WET(846); XRF(5)
ALV1120-002,glass,50.9,1.04,14.91,,,8.93,0.19,8.16,12.6,2.23,0.04,0.08,2.24,7.88,1.34,7.88,2.85,1.05,3.4,0.64,4.34,1.03,2.95,0.42,2.81,,3.8,,,,0.03,,,1.69,,,,0.85,,0.53,0.24,,2.04,73,,,,,,21.1,,62.3,0.70245,,,,,1.75,-85.17,-2990,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1120-002,ALVIN 1120,submersible,"basalt, basalt, ",fresh,"Fornari,1983(106); Perfit,1983(107)",EMP(234); MS(240); MS-ID(239); SSMS(236)
ALV1125-008,glass,49.88,1.35,15.65,,,9.15,0.16,7.52,11.84,2.81,0.39,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,,,,0.70261,,,,,1.73,-85.27,-2637,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1125-008,ALVIN 1125,submersible,"basalt, basalt, ",fresh,"Fornari,1983(106); Perfit,1983(107)",EMP(234); MS(240); MS-ID(239)
ALV0994-005B,glass,51.64,1.32,14.06,,,11.66,0.21,7.49,11.61,2.14,0.04,0.09,2.91,9.24,1.67,9.43,3.6,1.2,4.51,0.89,5.86,1.45,4.3,0.59,4.09,,10.9,,48,165,,64,14,2.51,513,,0.75,2.81,70,0.46,1.2,47,3.16,63,,0.32,,0.08,460,41.1,,94.1,0.70265,,,,,0.68,-85.47,-2675,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV0994-005,ALVIN 0994,submersible,"basalt, basalt, glassy with mc of plag and ol; glass has scarce, unevenly distributed fe sulfide globules; slightly vesicular (<1 vol%)",fresh,"Byers,1983(17); Perfit,1983(107)",EMP(235); EMP(556); ES(238); FPHOT(237); MS(240); MS-ID(239); SSMS(236)
ALV0995-003B,glass,50.45,3.73,11.51,,,18.02,0.18,3.9,8.7,2.87,0.19,0.46,11.4,39.5,6.25,34.7,12.5,3.61,13.2,2.55,17.3,4.1,12.1,1.69,12.7,,42.7,,47,5.5,0.1,35,28,7.62,1930,,1.21,10.4,14,0.68,3.5,49,15.1,66,,0.73,,0.22,480,117,,300,0.70243,,,,,0.7,-85.4,-2731,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV0995-003,ALVIN 0995,submersible,"basalt, basalt, ",fresh,"Perfit,1983(107)",EMP(242); ES(238); FPHOT(237); MS(240); MS-ID(239); SSMS(236)
ALV0996-001B,glass,50.34,3.47,11.69,,,17.93,0.21,4.37,8.93,2.83,0.24,0.37,10.2,32.2,4.75,25.7,8.56,2.56,10.2,1.86,12.7,3.03,8.73,1.16,8.64,,40.6,,52,8,0.07,47,25,5.62,2240,,0.61,11.9,31,0.77,4.7,49,5.12,72,,0.7,,0.25,660,97.8,,261,0.70255,,,,,0.73,-85.37,-2570,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV0996-001,ALVIN 0996,submersible,"basalt, basalt, ",fresh,"Perfit,1983(107)",EMP(242); ES(238); FPHOT(237); MS(240); MS-ID(239); SSMS(236)
ALV0999-004B,glass,51.62,1.65,13.88,,,12.2,0.15,6.94,10.96,2.5,0.09,0.17,4.7,15.2,2.62,14.9,5.24,1.68,6.29,1.2,8.07,1.94,5.74,0.81,5.76,,17.1,,40,145,,63,15,3.32,938,,0.98,4.57,70,0.29,1.9,45,7.84,64,,0.3,,,400,64.1,,154,0.70281,,,,,0.73,-85.83,-2628,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV0999-004,ALVIN 0999,submersible,"basalt, basalt, ",fresh,"Perfit,1983(105); Perfit,1983(107)",EMP(242); EMP(642); ES(238); FPHOT(237); MS(240); MS-ID(239); SSMS(236)
DST0041-001,glass,49.85,3.26,11.69,,,16.72,0.09,4.86,9.25,2.49,0.16,,,,,25.2,7.85,,,,,,,,,,,,,,,,,,,,,,,0.636,3.35,,,73,,,,0.231,,,,,0.70275,0.51308,18.56,15.49,38.07,0.71,-85.5,-2523,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-001,DE STEIGUER 41,dredge,"basalt, basalt, ",fresh,"Cohen,1980(173)",EMP(701); MS(698); MS(699); MS-ID(700)
MELCCTW-007-001,glass,50.24,0.91,15.45,,,8.65,0.15,8.56,12.6,2.18,0.02,0.07,1.1,5.8,,4.8,2.1,0.9,,0.7,,,,,2.7,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,-87.083,-2388,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,MELCCTW-007,COCOTOW,dredge,"basalt, basalt, ",fresh,"Fisk,1982(4); Michael,1988(392)",EMP(2); EMP(913); INAA(914)
MELCCTW-007-001,whole rock,,0.94,,,,8.98,,8.84,,,,,1.1,5.8,,4.8,2.1,0.9,,0.7,,,,0.5,2.7,0.32,3,,44,412,0.003,,,,200,,,,,,0.27,43,,75.5,,,,,260,,,,0.7025,,,,,0.87,-87.083,-2388,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,MELCCTW-007,COCOTOW,dredge,"basalt, basalt, ",fresh,"Schilling,1976(444); Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(846)
MELCCTW-010-001,glass,49.84,1.58,13.96,,,11.09,0.19,6.9,11.85,2.52,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.998,-91.61,-1981 to -2050,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,MELCCTW-010,COCOTOW,dredge,"basalt, basalt, ",,"Fisk,1982(4)",EMP(2)
MELCCTW-010-001,whole rock,,1.34,,,,10.29,,7.61,,,,,5.1,13.8,,10.9,3.4,1.3,,0.8,,,,0.63,3.2,0.52,42.6,,44,243,0.04,,,,1540,,,,,,3.66,47,,118.8,,,,,313,,,,0.70293,,,,,1.998,-91.61,-1981 to -2050,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,MELCCTW-010,COCOTOW,dredge,"basalt, basalt, ",,"Schilling,1976(444); Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(846)
MELCCTW-006-001,glass,49.54,1.98,13.29,,,12.84,0.23,6.72,10.93,2.62,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.852,-86.547,-2330 to -2432,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,MELCCTW-006,COCOTOW,dredge,"basalt, basalt, ",,"Fisk,1982(4)",EMP(2)
MELCCTW-006-001,whole rock,,1.89,,,,12.77,,6.76,,,,,4.6,16.4,,13.5,5.2,1.7,,1.3,,,,0.54,5.4,0.8,18,,45,193,0.001,,,,908,,,,,,1.86,48,,70.8,,,,,446,,,,0.70269,0.51309,,,,0.852,-86.547,-2330 to -2432,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,MELCCTW-006,COCOTOW,dredge,"basalt, basalt, ",,"Schilling,1976(444); Schilling,1982(11); Verma,1982(3); Verma,1983(768)",INAA(30); MS(1146); MS(25); MS-ID(26); WET(846)
MELCCTW-009-001,glass,49.3,1.5,14.49,,,10.6,0.17,7.52,12.18,2.62,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.778,-89.228,-1777 to -1845,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,MELCCTW-009,COCOTOW,dredge,"basalt, basalt, ",fresh,"Fisk,1982(4)",EMP(2)
MELCCTW-009-001,whole rock,,1.54,,,,10.72,,7.39,,,,,4.9,13.3,,,3.7,1.4,,1,,,,0.63,3,0.45,38,,44,247,0.028,,,,1770,,,,,,2.56,47,,115,,,,,329,,,,0.70287,,,,,0.778,-89.228,-1777 to -1845,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,MELCCTW-009,COCOTOW,dredge,"basalt, basalt, ",fresh,"Schilling,1976(444); Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(846)
DST0041-003-021,glass,48.48,1.52,18.06,,,8.39,,8.04,11.12,2.93,0.31,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70277,0.513118,18.644,15.548,38.236,1.04,-85.42,-1554,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-003,DE STEIGUER 41,dredge,"basalt, basalt, ",fresh,"Ito,1987(187); Melson,(1086)",EMP(3262); MS(1051)
DST0041-003-021,whole rock,,,,,,,,,,,,,,,,14.1,3.27,1.41,,,,,,,,,,,,,,,,3.1,,,,,,,,,1.27,,,,,,,,,118,,,,,,1.04,-85.42,-1554,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-003,DE STEIGUER 41,dredge,"basalt, basalt, ",fresh,"Jochum,1993(671)",SSMS(2422)
DST0041-003-412,glass,51.75,1.34,14.54,,,10.74,,7.49,12.03,2.35,0.04,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.377,,,,,,0.05,,0.019,,,,,0.70249,0.513142,18.366,15.5,37.911,1.04,-85.42,-1554,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-003,DE STEIGUER 41,dredge,"basalt, basalt, ",fresh,"Ito,1987(187); Melson,(1086); White,1993(477)",EMP(3262); MS(1051); MS-ID(1118)
DST0041-006-C14,glass,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,9173,,,,,,,,,,,5.42,,1.79,,,,,0.702823,0.513062,,,,2.7,-95.24,-2597,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-006,DE STEIGUER 41,dredge,"basalt, basalt, ",fresh,"Ito,1980(184); Jochum,1983(207)",MS(1064); MS(1377); MS-ID(1376); SS-ID(1063)
ALV1646-002B,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747,,,,,,,,,67.6,,,,,,,,,0.702548,,,,,0.757,-85.843,-2614,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1646-002,ALVIN 1646,submersible,"basalt, basalt, ",fresh,"Michael,1998(808); Perfit,1998(806)",EMP(1230); MS(2700); MS-ID(2699)
ALV1646-002B,whole rock,51,1.74,13.2,,2.8,13.1,0.22,6.97,11,2.2,0.12,0.17,3.6,11,,15,3.1,1.5,6.4,,7.7,,,,4.5,,123,0.8,48.3,126,,74.3,,,747,,,4.58,68.3,,1.6,,,67.6,,,10611,,398,44,118,117,,,,,,0.757,-85.843,-2614,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1646-002,ALVIN 1646,submersible,"basalt, basalt, ",fresh,"Perfit,1998(806)",ICPAE(2692); ICPMS(2696); NN(2693); XRF(2695)
ALV1647-001A,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909,,,,,,,,,,,,,,,,,,,,,,,0.743,-85.837,-2567,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1647-001,ALVIN 1647,submersible,"basalt, basalt, ",f(ref-805);m(ref-806);,"Michael,1998(808)",EMP(1230)
ALV1647-001A,whole rock,51.4,3.41,11.1,,3,17.6,0.28,3.5,8.56,2.74,0.23,0.6,12,38,,41,12,3.7,18,,21,,,,13,,370,1.5,41.5,48,,39.3,,,1909,,,13.7,15.7,,5.1,,,78.9,,,19484,,268,120,194,364,0.702856,,,,,0.743,-85.837,-2567,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1647-001,ALVIN 1647,submersible,"basalt, basalt, ",f(ref-805);m(ref-806);,"Perfit,1998(806)",ICPAE(2692); ICPMS(2696); MS(2700); MS-ID(2699); NN(2693); XRF(2695)
ALV1647-003E,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076,,,,,,4.5,,,77.9,,,,,,,,,0.702644,,18.64,15.55,38.19,0.743,-85.837,-2567,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1647-003,ALVIN 1647,submersible,"basalt, basalt, ",fresh,"Michael,1998(808); Perfit,1998(806); Ridley,1994(760)",EMP(1230); MS(2700); MS(2702); MS-ID(2699); MS-ID(3090)
ALV1647-003E,whole rock,51.4,3.42,11,,,17.2,0.28,3.61,8.6,2.72,0.25,0.58,,,,,,,,,,,,,11,,369,1.5,42.8,33.4,,37,,,1992,,,14.6,16.4,,4.5,,,77.9,,,21162,,294,81.4,196,363,,,,,,0.743,-85.837,-2567,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1647-003,ALVIN 1647,submersible,"basalt, basalt, ",fresh,"Perfit,1998(806)",ICPAE(2692); XRF(2695)
ALV1649-003,glass,51.46,2.65,12.6,,,14.8,,4.5,9.15,2.79,0.24,0.48,,,,,,,,,,,,,,,,,,,,,,,1763,,,,,,,,,74.8,,,,,,,,,0.702704,,,,,0.75,-85.843,-2547,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1649-003,ALVIN 1649,submersible,"basalt, basalt, ",f(ref-805;806);e(ref-760);,"Melson,(1086); Michael,1998(808); Perfit,1998(806)",EMP(1230); EMP(2691); EMP(3262); MS(2700); MS-ID(2699)
ALV1649-003,whole rock,51.5,2.69,11.9,,3.1,15.3,0.24,4.71,9.23,2.65,0.22,0.44,9.8,28,,28,8.2,2.6,12,,14,,,,8.3,,261,1.3,45.5,70.7,,66.1,,,1992,,,12.3,39,,3.9,,,74.8,,,16786,,415,82,192,255,0.702704,,,,,0.75,-85.843,-2547,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1649-003,ALVIN 1649,submersible,"basalt, basalt, ",f(ref-805;806);e(ref-760);,"Perfit,1998(806); Ridley,1994(760)",ICPAE(2692); ICPMS(2696); MS(3088); MS-ID(3090); NN(2693); XRF(2695)
ALV1649-005,glass,52.7,2.72,12.3,,,15.5,,3.78,8.71,3.04,0.27,0.53,,,,,,,,,,,,,,,323,,47.5,51.6,,58.4,,,2241,,,14.6,29.1,,6,,,76.2,,,17206,,361,112,334,317,0.702683,,,,,0.752,-85.845,-2590,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1649-005,ALVIN 1649,submersible,"basalt, basalt, ",fresh,"Embley,1988(805); Perfit,1998(806); Ridley,1994(760)",EMP(2691); EMP(3108); MS(3089); MS-ID(3090); XRF(2695)
ALV1651-004,glass,51.72,2.84,12.44,,,15.41,,4.75,9.43,2.73,0.22,0.3,,,,,,,,,,,,,,,,,,,,,,,1826,,,,,,4.9,,,75.1,,,,,,,,,0.702835,,,,,0.751,-85.838,-2523,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1651-004,ALVIN 1651,submersible,"basalt, basalt, ",f(ref-805;760);m(ref-806);,"Melson,(1086); Michael,1998(808); Ridley,1994(760)",EMP(1230); EMP(3262); MS(3089); MS-ID(3090)
ALV1651-004,whole rock,51.4,2.7,12,,2.9,15.3,0.26,5.18,9.6,2.53,0.2,0.37,8.9,25,,27,7.2,2.4,11,,13,,,,8,,235,1.2,51.9,109,,64.3,,,1909,,,12,50.7,,4.9,,,75.1,,,16366,,432,77,156,229,0.702835,,,,,0.751,-85.838,-2523,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1651-004,ALVIN 1651,submersible,"basalt, basalt, ",f(ref-805;760);m(ref-806);,"Perfit,1998(806)",ICPAE(2692); ICPMS(2696); MS(2700); MS-ID(2699); NN(2693); XRF(2695)
ALV1652-010,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,1.2,,,68.4,,,,,,,,,0.702511,,,,,0.742,-85.843,-2594,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1652-001,ALVIN 1652,submersible,"basalt, basalt, ",fresh,"Michael,1998(808); Ridley,1994(760)",EMP(1230); MS(3089); MS-ID(3090)
ALV1652-010,whole rock,51.6,1.6,13.6,,,12.9,0.23,7.1,10.4,2.6,0.1,0.15,3.9,11,,14,4.1,1.5,6.6,,8,,,,4.7,,10,0.8,48,99,,86,,3.8,,9,1,5,62,1,1.2,44,,68,0.24,,,0.21,390,45,94,,0.702511,,,,,0.742,-85.843,-2594,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1652-001,ALVIN 1652,submersible,"basalt, basalt, ",fresh,"Embley,1988(805); Ridley,1994(760)",ICPAE(3085); ICPAE(3107); ICPMS(3086); MS(3112); MS-ID(3111)
ALV1652-001-BR,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270,,,,,,,,,5.8,,,,,,,,,0.702574,,,,,0.742,-85.843,-2594,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1652-001,ALVIN 1652,submersible,"basalt, basalt, ",fresh,"Michael,1998(808); Perfit,1998(806)",EMP(1230); MS(2700); MS-ID(2699)
ALV1652-001-BR,whole rock,59,1.66,10.7,,,14.8,0.26,1.57,6.29,3.25,0.48,0.67,21,63,,60,19,5.4,27,,32,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,170,,601,,,,,,0.742,-85.843,-2594,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1652-001,ALVIN 1652,submersible,"basalt, basalt, ",fresh,"Perfit,1998(806)",ICPAE(2692); ICPMS(2696)
ALV1652-009,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,,,,,,1.3,,,62.5,,,,,,,,,0.702526,,,,,0.755,-85.838,-2610,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1652-009,ALVIN 1652,submersible,"basalt, basalt, ",fresh,"Michael,1998(808); Ridley,1994(760)",EMP(1230); MS(3089); MS-ID(3090)
ALV1652-009,whole rock,50.6,1.71,14,,,12.8,0.21,6.67,10.8,2.23,0.14,0.15,1,,,,,,,,,,,,3.7,,10,0.8,,92,,78,,,,,,,62,,,,,63,,,,,380,,100,,0.702536,,,,,0.755,-85.838,-2610,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1652-009,ALVIN 1652,submersible,"basalt, basalt, ",fresh,"Embley,1988(805); Perfit,1998(806)",ICPAE(2692); ICPAE(3107); MS(3112); MS-ID(3111)
ALV1652-012,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,,,,,,1.4,,,63.8,,,,,,,,,0.702722,,,,,0.76,-85.84,-2640,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1652-012,ALVIN 1652,submersible,"basalt, basalt, ",fresh,"Michael,1998(808); Ridley,1994(760)",EMP(1230); MS(3089); MS-ID(3090)
ALV1652-012,whole rock,50.9,1.7,13.1,,,12.9,0.22,6.87,11,2.18,0.11,0.16,1,,,,,,,,,,,,,,10,,,66,,76,,,,,,,60,,,,,64,,,,,370,,100,,0.702722,,,,,0.76,-85.84,-2640,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1652-012,ALVIN 1652,submersible,"basalt, basalt, ",fresh,"Embley,1988(805)",ICPAE(3107); MS(3112); MS-ID(3111)
ALV1654-006-A,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909,,,,,,,,,73.9,,,,,,,,,0.702747,,,,,0.752,-85.843,-2540,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1654-006,ALVIN 1654,submersible,"basalt, basalt, ",fresh,"Michael,1998(808); Perfit,1998(806)",EMP(1230); MS(2700); MS-ID(2699)
ALV1654-006-A,whole rock,51.4,2.71,12,,3.9,15.2,0.24,4.78,9.23,2.62,0.3,,9.7,28,,29,8.2,2.6,12,,15,,,,8.8,,51,1.2,49,52.5,,62.8,,4.4,2241,11,1.3,12,40.1,2,4.6,45,,74,0.38,,16426,0.24,404,92,238,255,0.702747,,,,,0.752,-85.843,-2540,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1654-006,ALVIN 1654,submersible,"basalt, basalt, ",fresh,"Perfit,1998(806); Ridley,1994(760)",ICPAE(2692); ICPAE(3085); ICPMS(3086); MS(3087); MS-ID(3090); NN(2693); XRF(2695)
ALV1659-001,glass,51.5,1.23,14.3,,,10.8,,7.67,12,2.03,0.05,0.12,,,,,,,,,,,,,,,,,,,,,,,380,,,,,,0.7,,,56.3,,,,,,,,,0.702528,,,,,0.8,-86.233,-2500,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1659-001,ALVIN 1659,submersible,"basalt, basalt; tholeiite(ref-760);, ",fresh,"Embley,1988(805); Michael,1998(808); Perfit,1998(806); Ridley,1994(760)",EMP(1230); EMP(3108); MS(2700); MS-ID(2699); MS-ID(3090)
ALV1659-001,whole rock,50.7,1.19,14.6,,,10.6,0.19,7.82,11.9,2.07,0.1,0.11,2.09,6.96,,7.5,2.77,0.982,,0.72,,,,,3.32,,88,0.7,46.1,302,,83.8,,,415,,,3.31,75.7,,0.7,,,56.3,,,7674,,320,32.4,85.8,82,,,,,,0.8,-86.233,-2500,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1659-001,ALVIN 1659,submersible,"basalt, basalt; tholeiite(ref-760);, ",fresh,"Perfit,1998(806)",ICPAE(2692); INAA(2697); XRF(2695)
ALV1661-009,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3510,,,,,,,,,76.5,,,,,,,,,0.702596,,,,,0.767,-85.917,-2543,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1661-009,ALVIN 1661,submersible,"basalt, basalt, ",moderately altered,"Michael,1998(808); Perfit,1998(806)",EMP(1230); MS(2700); MS-ID(2699)
ALV1661-009,whole rock,54.3,1.84,10.8,,4.6,13.8,0.25,2.62,6.95,3,0.42,0.6,19,54,,52,15,4.2,22,,26,,,,16,,,1.8,34,48.7,,35.7,,,3404,,,20.3,23.2,,9.8,,,76.5,,,12530,,145,150,199,540,0.702605,,,,,0.767,-85.917,-2543,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1661-009,ALVIN 1661,submersible,"basalt, basalt, ",moderately altered,"Perfit,1998(806)",ICPAE(2692); ICPMS(2696); MS(2700); MS-ID(2699); NN(2693); XRF(2695)
ALV1663-005,glass,51.28,1.38,14.03,,,10.96,,7.17,11.76,2.17,0.07,0.14,,,,,,,,,,,,,,,,,,,,,,,581,,,,,,,,,62.7,,,,,,,,,0.70253,,,,,0.767,-85.9,-2604,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1663-005,ALVIN 1663,submersible,"basalt, basalt, ",fresh,"Melson,(1086); Michael,1998(808); Perfit,1998(806)",EMP(1230); EMP(3262); MS(2700); MS-ID(2699)
ALV1663-005,whole rock,50.9,1.38,13.7,,2.8,11.3,0.21,7.82,11.6,2.02,0.11,0.12,3,8.7,,11,3,1.2,5,,6.1,,,,3.4,,10,0.6,46,194,,80.8,,,415,,,2.9,75.6,,1.2,,,62.7,,,8633,,346,34,103,89.2,,,,,,0.767,-85.9,-2604,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1663-005,ALVIN 1663,submersible,"basalt, basalt, ",fresh,"Embley,1988(805); Perfit,1998(806)",ICPAE(2692); ICPAE(3107); ICPMS(2696); NN(2693); XRF(2695)
ALV0719-003,glass,53.96,2.86,11.79,,,16.23,,3.21,8.15,3.23,0.3,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.798,-86.143,-2505,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV0719-003,ALVIN 0719,submersible,"basalt, basalt, gm: glass; pc: plag>cpx",,"Melson,(1086)",EMP(3262)
ALV1647-001B,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,,,,,,,,,0.702625,,18.65,15.56,38.24,0.743,-85.837,-2567,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1647-001,ALVIN 1647,submersible,"basalt, basalt, ",m(ref-806);e(ref-760);,"Perfit,1998(806)",MS(2700); MS(2702); MS-ID(2699)
ALV1647-001B,whole rock,50.5,3.29,10.8,,,16.8,0.27,3.32,8.25,2.77,0.23,0.55,,,,,,,,,,,,,11,,376,1.4,42.8,23.4,,42.7,,,2573,,,15.4,15.7,,5.1,,,73.9,,,20443,,282,121,190,370,0.702678,,,,,0.743,-85.837,-2567,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1647-001,ALVIN 1647,submersible,"basalt, basalt, ",m(ref-806);e(ref-760);,"Perfit,1998(806); Ridley,1994(760)",ICPAE(2692); MS(2700); MS-ID(2699); MS-ID(3090); XRF(2695)
ALV1649-002A,whole rock,56.7,2.23,12,,,13.3,0.08,7.56,2.32,1.23,0,0.24,15,,,,,,,,,,,,,,11,,,89,,869,,,,,,,61,,,,,38.7,,,,,418,,374,,0.705591,,18.69,15.56,38.3,0.752,-85.843,-2547,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,ALV1649-002,ALVIN 1649,submersible,"basalt, basalt, ",f(ref-806);a(ref-805);,"Embley,1988(805); Perfit,1998(806)",ICPAE(3107); ICPAE(3113); ICPAE(3114); MS(2700); MS(2702); MS-ID(2699)
